 ID   NAME                    SEGMENT                                                            AADT     YEAR   LEN         LOCATION

172   ELDREDGE ST                    WATER ST-BRANDYWINE AVE                 3,000   2010   0.70    Binghamton (city)

 45   ENDICOTT/VESTAL BR             "TV LINE"-NORTH MAIN ST                16,990   2007   0.07              Vestal

 46   ENDICOTT/VESTAL BR             VESTAL AVE-"TV LINE"                   16,990   2007   0.07             Endicott

428   ERIE ST                        EAST AVE-MAIN ST                        5,720   2010   0.64      Owego (village)

173   EXCHANGE ST                    COURT ST-HAWLEY ST                      4,700   2009   0.11    Binghamton (city)

174   EXCHANGE ST                    HAWLEY ST-SUSQUEHANNA ST                2,050   2010   0.12    Binghamton (city)

175   EXCHANGE ST                    NYS 363-CONKLIN AVE                    12,360   2002   0.14    Binghamton (city)

176   EXCHANGE ST                    SUSQUEHANNA ST-NYS 363                  6,540   1999   0.09    Binghamton (city)

177   FAIRVIEW AVE                   "CB LINE"-CLAPHAM ST                     600    2009   0.18    Binghamton (city)

178   FAIRVIEW AVE                   CLAPHAM ST-MONROE ST                     600    2009   0.15    Binghamton (city)

179   FAIRVIEW AVE                   MONROE AVE-ROBINSON ST                   600    2010   0.25    Binghamton (city)

180   FAIRVIEW AVE                   ROBINSON ST-COURT ST                    2,140   2011   0.27    Binghamton (city)

 47   FARM-TO-MARKET RD              "TU LINE"(N. END)-TWIST RUN RD          2,310   2010   0.68               Union
 ID   NAME                SEGMENT                                         AADT     YEAR   LEN          LOCATION

 48   FARM-TO-MARKET RD   EAST MAIN RD-OAK TREE LN(N. END) - Break up?     1,830   1999   2.44               Maine

 49   FARM-TO-MARKET RD   OAK TREE LN(N. END)-OAK TREE LN(S. END)          1,830   2010   0.22               Maine

 50   FARM-TO-MARKET RD   OAK TREE LN(S. END)-"TU LINE" (N. END)           1,830   2010   0.31               Maine

 51   FARM-TO-MARKET RD   PLEASANT DR-HOOPER RD                            5,480   2001   0.32               Union

 52   FARM-TO-MARKET RD   STRUBELL RD-PLEASANT DR                          5,480   2010   0.40               Union

 53   FARM-TO-MARKET RD   TWIST RUN RD-STRUBELL RD                         2,540   2010   0.81               Union

181   FAYETTE ST          COURT ST-LEWIS ST                                1,420   2010   0.20    Binghamton (city)

182   FLORAL AVE          MAIN ST-WEST END AVE                             8,260   1999   0.13    Binghamton (city)

183   FLORAL AVE          WEST END AVE-"CB LINE"                           9,750   2008   0.17    Binghamton (city)

406   FLORAL AVE          "CB LINE"-ORCHARD AVE                           10,390   2001   0.73        Johnson City

429   FOX ST.             McMASTER ST.-PAIGE ST.                           2,220   2010   0.39      Owego (village)

184   FREDERICK ST        WEST STATE ST-NY7                                4,300   2010   0.25    Binghamton (city)

185   FRONT ST            LEROY ST-RIVERSIDE DR                            4,300   2001   0.14    Binghamton (city)

186   FRONT ST            MAIN ST-LEROY ST                                 5,500   2010   0.28    Binghamton (city)

334   FRONT ST            MAIN ST-NY434                                    2,220   2011   1.18              Vestal

430   FRONT ST.           PARK ST.-ACADEMY ST.                             3,940   2010   0.19      Owego (village)

187   FULLER HOLLOW RD    "CB LINE"-CLIFTON BLVD                            870    2009   0.22    Binghamton (city)

335   FULLER HOLLOW RD    BUNN HILL RD-CAMPUS DR                           1,070   2008   1.33              Vestal

336   FULLER HOLLOW RD    CAMPUS DR-POWDERHOUSE RD                         2,410   2000   0.30              Vestal

267   GARDNER RD.         MORGAN RD.-PIERCE CREEK RD.                       920    2008   1.27   Binghamton (town)

279   GLEN MARY DR        WEST BEECHER HILL RD-NY 96                        880    2009   2.64               Tioga

280   GLEN MARY DR        WEST BEECHER HILL RD-THORNE HOLLOW CREEK         1,370   2007   0.98               Tioga

317   GLENDALE DR         CARL ST-NYS 17C                                  3,740   2008   1.59               Union

188   GLENWOOD AVE        CLINTON ST-LAKE AVE                             14,100   2010   0.08    Binghamton (city)

189   GLENWOOD AVE        LAKE AVE-"CB LINE"                              12,340   2010   0.27    Binghamton (city)

190   GLENWOOD AVE        MAIN ST-CLINTON ST                               8,850   2011   0.29    Binghamton (city)

 54   GLENWOOD RD         "CB LINE"-CR 114 (JUST B/F ELY PRK RD)           5,920   1999   1.29           Dickinson

 55   GLENWOOD RD         "TD LINE"-LEWIS RD/SMITH HILL RD INTERSECTION    1,670   1999   0.79          Chenango

 56   GLENWOOD RD         CR 114 (JUST B/F ELY PRK RD)-"TOWN LINE"         1,670   2007   0.46           Dickinson

337   GLENWOOD RD         MAIN ST-JUNEBERRY RD                             1,340   2001   1.44              Vestal

338   GLENWOOD RD         WEST HILL RD.-NYS 26                              680    2006   1.32              Vestal

447   GLENWOOD RD         HORSESHOE LN - WEST HILL RD                      1,000      0   0.69              Vestal

448   GLENWOOD RD         COSTLEY RD - HORSESHOE LN                        1,000      0   0.24              Vestal

449   GLENWOOD RD         GRIPPEN HILL RD - COSTLEY RD                     1,000      0   0.59              Vestal

450   GLENWOOD RD         JUNEBERRY RD - GRIPPEN HILL RD                   1,000      0   0.23              Vestal

407   GRAND AVE           RIVERSIDE DR-WILLOW ST                           2,870   2008   0.68        Johnson City

408   GRAND AVE           WILLOW AVE-BURBANK AVE                           3,660   1991   0.10        Johnson City

459   GRIPPEN HILL RD     GLENWOOD RD - KILMER RD                           500       0   0.56              Vestal

409   HARRY L DR          "LANE CHANGE"-REYNOLDS RD                       14,200   1997   0.14        Johnson City

410   HARRY L DR          AIRPORT RD-LESTER AVE                            8,300   2008   0.22        Johnson City

411   HARRY L DR          LESTER AVE-"LANE CHANGE"                        10,080   2008   1.00        Johnson City

412   HARRY L DR          OAKDALE RD-"VJC LINE"                            8,630   1999   0.30        Johnson City

413   HARRY L DR          REYNOLDS RD-OAKDALE RD                          20,340   2002   0.31        Johnson City

191   HAWLEY ST           CARROLL ST-EXCHANGE ST                           3,750   2010   0.14    Binghamton (city)

192   HAWLEY ST           EXCHANGE ST-STATE ST                             4,110   2010   0.16    Binghamton (city)

193   HAWLEY ST           STATE ST-COURT ST                                7,500   2010   0.19    Binghamton (city)

 57   HAWLEYTON RD        BROWN RD-"CB LINE"                               2,350   2010   0.42   Binghamton (town)

 58   HAWLEYTON RD        FOLAND RD-INGRAHAM HILL RD                       2,350   2010   0.53   Binghamton (town)

 59   HAWLEYTON RD        INGRAHAM HILL RD-PECKHAM RD                      2,350   2010   0.36   Binghamton (town)

 60   HAWLEYTON RD        PECKHAM RD-BROWN RD                              2,350   2010   0.24   Binghamton (town)
 ID   NAME                        SEGMENT                                   AADT     YEAR   LEN          LOCATION

318   HAYES AVE                   JENKINS ST-PINE ST                         3,140   1999   0.14               Union

319   HAYES AVE                   NORTH ST-"VE LINE"                         6,300   2011   0.18               Union

359   HAYES AVE                   "VE LINE"-WATSON BLVD                      6,300   2011   0.03             Endicott

360   HAYES AVE                   WATSON BLVD-JENKINS ST                     6,780   1999   0.24             Endicott

194   HENRY ST                    CARROLL ST-FAYETTE ST                      6,250   1989   0.17    Binghamton (city)

195   HENRY ST                    CHENANGO ST-CARROLL ST                     4,000   2010   0.08    Binghamton (city)

196   HENRY ST                    FAYETTE ST-LIBERTY ST                      4,320   2011   0.35    Binghamton (city)

197   HENRY ST                    STATE ST-CHENANGO ST                       4,000   2010   0.11    Binghamton (city)

198   HENRY ST                    WATER ST-STATE ST                          4,000   2007   0.10    Binghamton (city)

339   HOGAN RD.                   POWDERHOUSE RD-"TV LINE"                    640    2008   0.88              Vestal

 61   HOOPER RD                   COUNTRY CLUB RD-FRM TO MRKT RD            13,020   2009   0.82               Union

 62   HOOPER RD                   FARM TO MARKET RD-TAFT AVE                 8,350   1999   0.97               Union

 63   HOOPER RD                   NYS 17C-WATSON BLVD                       20,390   2006   0.44               Union

 64   HOOPER RD                   WATSON BLVD-COUNTRY CLUB RD               13,140   2001   0.30               Union

456   INGRAHAM HILL RD            WEBB RD - TOWN LINE                         500       0   0.23   Binghamton (town)

361   JACKSON AVE                 MAIN ST-NORTH ST                           1,280   2010   0.27             Endicott

199   JARVIS ST                   MAIN ST-CLINTON ST                         5,280   2011   0.26    Binghamton (city)

340   JENSEN RD                   NY434-OLD VESTAL RD                        3,740   2010   0.47              Vestal

431   JOHN ST                     FRONT ST-MAIN ST                           4,100   2010   0.12      Owego (village)

341   JUNEBERRY RD                GLENWOOD RD-W. SHEEDY RD                   1,610   2008   0.15              Vestal

200   JUTLAND RD                  CLIFTON BLVD-VESTAL AVE                    1,000   2008   0.21    Binghamton (city)

 65   KATTELVILLE RD              NYS 12A-RR CROSSING                        6,130   2010   2.06          Chenango

 66   KATTELVILLE RD              RR CROSSING-CR 96 (NORTH END)              3,550   2009   0.58          Chenango

272   KATTELVILLE RD              RIVER RD-DEAD END                           200    2007   0.08          Chenango

 67   KIRK IND PK LOOP            "COUNTER-CLOCKWISE"(S. ENTRANCE - SPUR)     900    2010   1.62            Kirkwood

 68   KIRK IND PK S ENT           CR 52-IND PARK LOOP                        2,090   1999   0.21            Kirkwood

 69   KIRK IND PK SPUR (N ENTR)   CR 52-IND PARK LOOP                        1,700   2010   0.11            Kirkwood

444   KRAGER RD                   BEVIER ST - POPES RAVINE RD                 500       0   0.03            Kirkwood

201   LAKE AVE                    GLENWOOD AVE-MARKET ST                     1,760   2010   0.34    Binghamton (city)

202   LEROY ST                    BEETHOVEN ST-ROTARY AVE                    1,720   1999   0.06    Binghamton (city)

203   LEROY ST                    FRONT ST-MURRAY ST                         5,500   2000   0.21    Binghamton (city)

204   LEROY ST                    MATTHEWS ST-WEST END AVE                  17,200   2008   0.21    Binghamton (city)

205   LEROY ST                    MURRAY ST-BEETHOVEN ST                     3,780   2008   0.62    Binghamton (city)

206   LEROY ST                    ROTARY AVE-MATTHEWS ST                     1,720   2007   0.36    Binghamton (city)

414   LESTER AVE                  CFJ BLVD-HARRY L DR                        3,580   2008   0.26        Johnson City

415   LESTER AVE                  ERIE LACKAWANNA-CFJ BLVD                   5,400   2010   0.11        Johnson City

416   LESTER AVE                  MAIN ST-ERIE LACKAWANNA                    5,400   2008   0.20        Johnson City

 70   LEWIS RD                    "TU LINE"-PAVEMENT CHANGE                  3,190   2009   0.25               Union

 71   LEWIS RD                    GLENWOOD RD-"TU LINE"                      2,160   2004   0.60          Chenango

 72   LEWIS RD                    PAVEMENT CHANGE-AIRPORT RD                 3,190   2009   0.22               Union

207   LEWIS ST                    FAYETTE ST-STATE ST                        2,080   2010   0.27    Binghamton (city)

208   LEWIS ST                    STATE ST-WASHINGTON ST                     2,500   2010   0.05    Binghamton (city)

362   LINCOLN AVE                 MAIN ST-PARK ST                            2,190   2009   0.08             Endicott

363   LINCOLN AVE                 MONROE ST-NORTH ST                         2,190   2009   0.12             Endicott

364   LINCOLN AVE                 PARK ST-MONROE ST                          2,190   2009   0.27             Endicott

301   LISLE RD                    DAVIS RD-BARNES CREEK                       500    2010   0.94       Owego (town)

 73   LOUGHLIN RD                 BARLOW ST-COURT ST                         3,740   2010   0.02            Kirkwood

342   LYNNHURST DR                AFRICAN RD-RANO BLVD                       2,230   2008   0.45              Vestal

302   MAIN ST                     NYS 434-PENNSYLVANIA AVE                   1,310   2008   1.66       Owego (town)

303   MAIN ST                     PENNSYLVANIA AVE-WATKINS AVE               1,310   2008   0.14       Owego (town)
 ID   NAME               SEGMENT                               AADT     YEAR   LEN          LOCATION

304   MAIN ST            WATKINS AVE-NYS 434                    3,500   2010   0.54       Owego (town)

351   MAIN ST            NYS 434-GLENWOOD RD                    5,570   2008   1.07              Vestal

432   MAIN ST.           JOHN ST.-NORTH ST.                     2,930   2010   0.54      Owego (village)

 74   MAPLE DR           NYS 26-"TU LINE"                        580    2003   0.10               Union

209   MARKET ST          LAKE AVE-"CB LINE"                     1,560   2010   0.11    Binghamton (city)

289   MARKET ST          "CB LINE"-DOWNS AVE                    1,560   2010   0.11           Dickinson

305   MARSHLAND RD       NYS 434(E)-WICKS RD                    1,280   2009   2.49       Owego (town)

306   MARSHLAND RD       WICKS RD-NY 434(W)                     1,280   2009   0.94       Owego (town)

365   McKINLEY AVE       CONRAIL-NORTH ST                       9,760   2009   0.12             Endicott

366   McKINLEY AVE       NORTH ST-COLUMBUS ST                   7,850   2002   0.26             Endicott

433   McMASTER ST.       MAIN ST.-FOX ST.                       2,710   2010   0.23      Owego (village)

295   MIDDLE CROSSOVER   E. ARTERIAL HWY. - W. ARTERIAL HWY.    4,480   2009   0.03              Fenton

268   MILL RD (part 1)   CROYDON RD-SPAULDING RD                 650    2008   0.08   Binghamton (town)

269   MILL RD (part 2)   "CB LINE"-CROYDON RD                    650    2008   0.45   Binghamton (town)

210   MILL ST            CONKLIN AVE-VESTAL AVE                 1,640   2008   0.15    Binghamton (city)

211   MILL ST            CORNELL AVE-'"CB LINE"                  910    1997   0.20    Binghamton (city)

212   MILL ST            VESTAL AVE-CORNELL AVE                 1,090   2000   0.36    Binghamton (city)

367   MONROE ST          JACKSON AVE-LINCOLN AVE                5,200   2007   0.62             Endicott

434   MONTROSE AVE.      SOUTHSIDE DR.-"VO LINE"                 840    2009   0.42      Owego (village)

213   MORGAN RD          PARK AVE-S WASHINGTON ST               3,140   2000   0.07    Binghamton (city)

270   MORGAN RD.         SPAULDING RD.-GARDNER RD.              1,310   2010   0.15   Binghamton (town)

