                                                                 Wenatchee Valley Transportation Council                                 Count Name: South Mission Avenue / Marr
                                                                            1350 McKittrick St                                           Street
                                                                                 Suite B                                                 Site Code:
                                                                Wenatchee, Washington, United States 98801                               Start Date: 07/31/2013
                                                                       509.663.9059 nick@wvtc.org                                        Page No: 1



                                                                    Turning Movement Data
                      Southbound Approach                                           Westbound Approach                              Northbound Approach
                             Southbound                                                   Westbound                                        Northbound
Start Time
               Thru   Left                U-Turn   App. Total         Right        Left               U-Turn   App. Total   Right   Thru                U-Turn   App. Total   Int. Total
 % Heavy       1.3    1.8    0.0     1.4    3.4    2.5     -    3.3    2.3    0.6     -     0.7     1.4
 Wenatchee Valley Transportation Council                                                                                          Count Name: South Mission Avenue / Marr
            1350 McKittrick St                                                                                                    Street
                 Suite B                                                                                                          Site Code:
Wenatchee, Washington, United States 98801                                                                                        Start Date: 07/31/2013
       509.663.9059 nick@wvtc.org                                                                                                 Page No: 4




             Southbound Approach [N]
              Out      In        Total
             12791   10084       22875
              338     245         583
              182     146         328
             13311   10475       23786


              8156    1919        9
              176      67         2
              109      37         0
              8441    2023        11
               T        L         U




                                                                                                         Westbound Approach [E]
                                             3438



                                                                3171


                                                                       2325




                                                                                          2201
                                                    118
                                                          149




                                                                                                 Out
                                                                              44
                                                                                    80
                                         R




                                                                       4264




                                                                                          3901
            07/31/2013 7:00 AM




                                             826



                                                                730



                                                                              139
                                                                                    224
                                                    21
                                                          75




                                                                                                 In
                                         L
            Ending At
            08/01/2013 7:00 PM
            Car




                                                                       6589




                                                                                          6102
                                                                                                 Total
                                                                              183
                                                                                    304
                                         U
                                             0
                                                    0
                                                          0
                                                                0
            Medium
            Heavy




               U        T         R
               0      9611        282
               0      187         13
               0       64         7
               0      9862        302


              8886    9893       18779
              251     200         451
              130      71         201
              9267   10164       19431
              Out      In        Total
             Northbound Approach [S]



 Turning Movement Data Plot
                                                                  Wenatchee Valley Transportation Council                                   Count Name: South Mission Avenue / Marr
                                                                             1350 McKittrick St                                             Street
                                                                                  Suite B                                                   Site Code:
                                                                 Wenatchee, Washington, United States 98801                                 Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                          Page No: 5




                                                   Turning Movement Peak Hour Data (11:00 AM)
                      Southbound Approach                                            Westbound Approach                                Northbound Approach
                             Southbound                                                     Westbound                                         Northbound
Start Time
             Thru    Left                 U-Turn    App. Total         Right        Left                U-Turn   App. Total   Right   Thru                 U-Turn   App. Total   Int. Total
 11:00 AM     70      21                    0          91               33           1                    0         34         2       92                    0         94          219
 11:15 AM     68      16                    1          85               24           2                    0         26         1       76                    0         77          188
 11:30 AM     73      20                    0          93               26           0                    0         26         2       86                    0         88          207
 11:45 AM     72      18                    0          90               36           2                    0         38         3      140                    0         143         271
  Total      283      75                    1          359             119           5                    0         124        8      394                    0         402         885
Approach %   78.8    20.9                  0.3          -              96.0          4.0                 0.0         -         2.0    98.0                  0.0         -            -
 Total %     32.0     8.5                  0.1        40.6             13.4          0.6                 0.0       14.0        0.9    44.5                  0.0       45.4           -
   PHF       0.969   0.893                0.250       0.965            0.826        0.625               0.000      0.816      0.667   0.704                0.000      0.703       0.816
   Car       272      72                    0          344             110           5                    0         115        8      385                    0         393         852
  % Car      96.1    96.0                  0.0        95.8             92.4         100.0                 -        92.7       100.0   97.7                   -        97.8         96.3
 Medium       5       1                     1           7               4            0                    0          4         0       5                     0          5           16
% Medium      1.8     1.3                 100.0        1.9              3.4          0.0                  -         3.2        0.0     1.3                   -         1.2          1.8
  Heavy       6       2                     0           8               5            0                    0          5         0       4                     0          4           17
 % Heavy      2.1     2.7                  0.0         2.2              4.2          0.0                  -         4.0        0.0     1.0                   -         1.0          1.9
          Wenatchee Valley Transportation Council                                                                             Count Name: South Mission Avenue / Marr
                     1350 McKittrick St                                                                                       Street
                          Suite B                                                                                             Site Code:
         Wenatchee, Washington, United States 98801                                                                           Start Date: 07/31/2013
                509.663.9059 nick@wvtc.org                                                                                    Page No: 6




                      Southbound Approach [N]
                       Out      In     Total
                       495     344         839
                        10       7         17
                        9        8         17
                       514     359         873


                       272      72         0
                        5        1         1
                        6        2         0
                       283      75         1
                        T        L         U




                   Peak Hour Data




                                                                                                     Westbound Approach [E]
                                                     119



                                                                   110




                                                                                             Out
                                                                         83




                                                                                       80
                                                 R


                                                           5
                                                               4




                                                                               2
                                                                                   1
                     07/31/2013 11:00 AM




                                                                         124




                                                                                       115
                                                                                             In
                                                 L
                                                     5
                                                           0
                                                               0
                                                                   5



                                                                               5
                                                                                   4
                     Ending At
                     07/31/2013 12:00 PM
                     Car




                                                                                             Total
                                                                         207




                                                                                       195
                                                 U
                                                     0
                                                           0
                                                               0
                                                                   0



                                                                               7
                                                                                   5
                     Medium
                     Heavy




                        U       T          R
                        0      385         8
                        0        5         0
                        0        4         0
                        0      394         8


                       277     393         670
                        5        5         10
                        6        4         10
                       288     402         690
                       Out      In     Total
                      Northbound Approach [S]



Turning Movement Peak Hour Data Plot (11:00 AM)
                                                                  Wenatchee Valley Transportation Council                                  Count Name: South Mission Avenue / Marr
                                                                             1350 McKittrick St                                            Street
                                                                                  Suite B                                                  Site Code:
                                                                 Wenatchee, Washington, United States 98801                                Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                         Page No: 7




                                                   Turning Movement Peak Hour Data (4:15 PM)
                      Southbound Approach                                            Westbound Approach                                Northbound Approach
                             Southbound                                                     Westbound                                         Northbound
Start Time
             Thru    Left                 U-Turn    App. Total         Right        Left                U-Turn   App. Total   Right   Thru                 U-Turn   App. Total   Int. Total
 4:15 PM     102      28                    0          130              45           0                    0         45         0      108                    0         108         283
 4:30 PM     101      26                    0          127              54           1                    0         55         0      135                    0         135         317
 4:45 PM     112      35                    2          149              49           4                    0         53         2      113                    0         115         317
 5:00 PM     126      18                    0          144              55           1                    0         56         0      128                    0         128         328
  Total      441     107                    2          550             203           6                    0         209        2      484                    0         486         1245
Approach %   80.2    19.5                  0.4          -              97.1          2.9                 0.0         -         0.4    99.6                  0.0         -            -
 Total %     35.4     8.6                  0.2        44.2             16.3          0.5                 0.0       16.8        0.2    38.9                  0.0       39.0           -
   PHF       0.875   0.764                0.250       0.923            0.923        0.375               0.000      0.933      0.250   0.896                0.000      0.900       0.949
   Car       424     104                    2          530             196           6                    0         202        2      475                    0         477         1209
  % Car      96.1    97.2                 100.0       96.4             96.6         100.0                 -        96.7       100.0   98.1                   -        98.1         97.1
 Medium       13      2                     0          15               5            0                    0          5         0       7                     0          7           27
% Medium      2.9     1.9                  0.0         2.7              2.5          0.0                  -         2.4        0.0     1.4                   -         1.4          2.2
  Heavy       4       1                     0           5               2            0                    0          2         0       2                     0          2            9
 % Heavy      0.9     0.9                  0.0         0.9              1.0          0.0                  -         1.0        0.0     0.4                   -         0.4          0.7
         Wenatchee Valley Transportation Council                                                                              Count Name: South Mission Avenue / Marr
                    1350 McKittrick St                                                                                        Street
                         Suite B                                                                                              Site Code:
        Wenatchee, Washington, United States 98801                                                                            Start Date: 07/31/2013
               509.663.9059 nick@wvtc.org                                                                                     Page No: 8




                     Southbound Approach [N]
                      Out      In        Total
                      673     530        1203
                       12      15         27
                       4        5         9
                      689     550        1239


                      424     104         2
                       13       2         0
                       4        1         0
                      441     107         2
                       T        L         U




                  Peak Hour Data




                                                                                                     Westbound Approach [E]
                                                     203



                                                                   196


                                                                         109




                                                                                       106
                                                                                             Out
                                                 R


                                                           2
                                                               5




                                                                               1
                                                                                   2
                    07/31/2013 4:15 PM




                                                                         209




                                                                                       202
                                                                                             In
                                                 L
                                                     6
                                                           0
                                                               0
                                                                   6



                                                                               2
                                                                                   5
                    Ending At
                    07/31/2013 5:15 PM
                    Car




                                                                                             Total
                                                                         318




                                                                                       308
                                                 U
                                                     0
                                                           0
                                                               0
                                                                   0



                                                                               3
                                                                                   7
                    Medium
                    Heavy




                       U        T         R
                       0      475         2
                       0        7         0
                       0        2         0
                       0      484         2


                      430     477        907
                       13       7         20
                       4        2         6
                      447     486        933
                      Out      In        Total
                     Northbound Approach [S]



Turning Movement Peak Hour Data Plot (4:15 PM)
                                                                  Wenatchee Valley Transportation Council                                   Count Name: South Mission Avenue / Marr
                                                                             1350 McKittrick St                                             Street
                                                                                  Suite B                                                   Site Code:
                                                                 Wenatchee, Washington, United States 98801                                 Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                          Page No: 9




                                                   Turning Movement Peak Hour Data (9:45 AM)
                      Southbound Approach                                            Westbound Approach                                Northbound Approach
                             Southbound                                                     Westbound                                         Northbound
Start Time
             Thru    Left                 U-Turn    App. Total         Right        Left                U-Turn   App. Total   Right   Thru                 U-Turn   App. Total   Int. Total
 9:45 AM      68      13                    0          81               32           52                   0         84         5      107                    0         112         277
 10:00 AM    107      9                     0          116              24           53                   0         77         9      103                    0         112         305
 10:15 AM    114      11                    0          125              31           47                   0         78         9      107                    0         116         319
 10:30 AM    102      5                     0          107              37           38                   0         75         3      103                    0         106         288
  Total      391      38                    0          429             124          190                   0         314        26     420                    0         446         1189
Approach %   91.1     8.9                  0.0          -              39.5         60.5                 0.0         -         5.8    94.2                  0.0         -            -
 Total %     32.9     3.2                  0.0        36.1             10.4         16.0                 0.0       26.4        2.2    35.3                  0.0       37.5           -
   PHF       0.857   0.731                0.000       0.858            0.838        0.896               0.000      0.935      0.722   0.981                0.000      0.961       0.932
   Car       370      36                    0          406             115          174                   0         289        23     404                    0         427         1122
  % Car      94.6    94.7                   -         94.6             92.7         91.6                  -        92.0       88.5    96.2                   -        95.7         94.4
 Medium       10      1                     0          11               8            13                   0         21         1       12                    0         13           45
% Medium      2.6     2.6                   -          2.6              6.5          6.8                  -         6.7        3.8     2.9                   -         2.9          3.8
  Heavy       11      1                     0          12               1            3                    0          4         2       4                     0          6           22
 % Heavy      2.8     2.6                   -          2.8              0.8          1.6                  -         1.3        7.7     1.0                   -         1.3          1.9
         Wenatchee Valley Transportation Council                                                                               Count Name: South Mission Avenue / Marr
                    1350 McKittrick St                                                                                         Street
                         Suite B                                                                                               Site Code:
        Wenatchee, Washington, United States 98801                                                                             Start Date: 07/31/2013
               509.663.9059 nick@wvtc.org                                                                                      Page No: 10




                     Southbound Approach [N]
                      Out      In     Total
                      519     406         925
                       20      11         31
                       5       12         17
                      544     429         973


                      370      36         0
                       10       1         0
                       11       1         0
                      391      38         0
                       T        L         U




                  Peak Hour Data




                                                                                                      Westbound Approach [E]
                                                    124



                                                                   115




                                                                                              Out
                                                                         64




                                                                                        59
                                                R


                                                          1
                                                              8




                                                                               3
                                                                                   2
                    08/01/2013 9:45 AM




                                                    190



                                                                   174


                                                                         314




                                                                                        289
                                                              13




                                                                                   21


                                                                                              In
                                                L


                                                          3




                                                                               4
                    Ending At
                    08/01/2013 10:45 AM
                    Car




                                                                                              Total
                                                                         378




                                                                                        348
                                                                                   23
                                                U
                                                    0
                                                          0
                                                              0
                                                                   0



                                                                               7
                    Medium
                    Heavy




                       U       T          R
                       0      404         23
                       0       12         1
                       0        4         2
                       0      420         26


                      544     427         971
                       23      13         36
                       14       6         20
                      581     446     1027
                      Out      In     Total
                     Northbound Approach [S]



Turning Movement Peak Hour Data Plot (9:45 AM)
                                                                  Wenatchee Valley Transportation Council                                  Count Name: South Mission Avenue / Marr
                                                                             1350 McKittrick St                                            Street
                                                                                  Suite B                                                  Site Code:
                                                                 Wenatchee, Washington, United States 98801                                Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                         Page No: 11




                                                   Turning Movement Peak Hour Data (4:30 PM)
                      Southbound Approach                                            Westbound Approach                                Northbound Approach
                             Southbound                                                     Westbound                                         Northbound
Start Time
             Thru    Left                 U-Turn    App. Total         Right        Left                U-Turn   App. Total   Right   Thru                 U-Turn   App. Total   Int. Total
 4:30 PM     109      24                    0          133              47           0                    0         47         2      142                    0         144         324
 4:45 PM     118      22                    0          140              46           3                    0         49         3      135                    0         138         327
 5:00 PM     118      16                    0          134              42           3                    0         45         4      118                    0         122         301
 5:15 PM     118      35                    1          154              42           3                    0         45         4      120                    0         124         323
  Total      463      97                    1          561             177           9                    0         186        13     515                    0         528         1275
Approach %   82.5    17.3                  0.2          -              95.2          4.8                 0.0         -         2.5    97.5                  0.0         -            -
 Total %     36.3     7.6                  0.1        44.0             13.9          0.7                 0.0       14.6        1.0    40.4                  0.0       41.4           -
   PHF       0.981   0.693                0.250       0.911            0.941        0.750               0.000      0.949      0.813   0.907                0.000      0.917       0.975
   Car       456      93                    1          550             172           9                    0         181        13     507                    0         520         1251
  % Car      98.5    95.9                 100.0       98.0             97.2         100.0                 -        97.3       100.0   98.4                   -        98.5         98.1
 Medium       5       4                     0           9               3            0                    0          3         0       7                     0          7           19
% Medium      1.1     4.1                  0.0         1.6              1.7          0.0                  -         1.6        0.0     1.4                   -         1.3          1.5
  Heavy       2       0                     0           2               2            0                    0          2         0       1                     0          1            5
 % Heavy      0.4     0.0                  0.0         0.4              1.1          0.0                  -         1.1        0.0     0.2                   -         0.2          0.4
         Wenatchee Valley Transportation Council                                                                              Count Name: South Mission Avenue / Marr
                    1350 McKittrick St                                                                                        Street
                         Suite B                                                                                              Site Code:
        Wenatchee, Washington, United States 98801                                                                            Start Date: 07/31/2013
               509.663.9059 nick@wvtc.org                                                                                     Page No: 12




                     Southbound Approach [N]
                      Out      In        Total
                      680     550        1230
                       10       9         19
                       3        2         5
                      693     561        1254


                      456      93         1
                       5        4         0
                       2        0         0
                      463      97         1
                       T        L         U




                  Peak Hour Data




                                                                                                     Westbound Approach [E]
                                                     177



                                                                   172


                                                                         110




                                                                                       106
                                                                                             Out
                                                 R


                                                           2
                                                               3




                                                                               0
                                                                                   4
                    08/01/2013 4:30 PM




                                                                         186




                                                                                       181
                                                                                             In
                                                 L
                                                     9
                                                           0
                                                               0
                                                                   9



                                                                               2
                                                                                   3
                    Ending At
                    08/01/2013 5:30 PM
                    Car




                                                                                             Total
                                                                         296




                                                                                       287
                                                 U
                                                     0
                                                           0
                                                               0
                                                                   0



                                                                               2
                                                                                   7
                    Medium
                    Heavy




                       U        T         R
                       0      507         13
                       0        7         0
                       0        1         0
                       0      515         13


                      465     520        985
                       5        7         12
                       2        1         3
                      472     528        1000
                      Out      In        Total
                     Northbound Approach [S]



Turning Movement Peak Hour Data Plot (4:30 PM)
 Wenatchee Valley Transportation Council     Count Name: South Mission Avenue / Marr
            1350 McKittrick St               Street
                 Suite B                     Site Code:
Wenatchee, Washington, United States 98801   Start Date: 07/31/2013
       509.663.9059 nick@wvtc.org            Page No: 13

