                                                                  Wenatchee Valley Transportation Council                                  Count Name: South Wenatchee Avenue /
                                                                             1350 McKittrick St                                            Crawford Street
                                                                                  Suite B                                                  Site Code:
                                                                 Wenatchee, Washington, United States 98801                                Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                         Page No: 1



                                                                     Turning Movement Data
                       Southbound Approach                                           Northbound Approach                               Eastbound Approach
                              Southbound                                                   Northbound                                        Eastbound
Start Time
               Right   Thru                U-Turn   App. Total         Thru         Left                U-Turn   App. Total   Right   Left               U-Turn   App. Total   Int. Total
  5:45 PM       14   97    0   111   65    12    0   77    18   1    0   19    207
Hourly Total    93   387   0   480   265   91    0   356   81   21   0   102   938
  6:00 PM       22   88    0   110   55    19    0   74    22   4    0   26    210
  6:15 PM       6    80    0   86    47    15    0   62    22   3    0   25    173
  6:30 PM       11   61    0   72    41    18    0   59    10   7    0   17    148
  6:45 PM       12   68    0   80    45    12    0   57    13   3    0   16    153
Hourly Total    51   297   0   348   188   64    0   252   67   17   0   84    684
*** BREAK ***   -     -    -    -     -     -    -    -    -    -    -    -     -
  7:00 AM       0     0    0    0    52    9     0   61    0    1    0   1     62
  7:15 AM       0     1    0    1    68    11    0   79    0    0    0   0     80
  7:30 AM       0     1    0    1    69    14    0   83    0    0    0   0     84
  7:45 AM       1     2    0    3    95    16    0   111   0    0    0   0     114
Hourly Total    1     4    0    5    284   50    0   334   0    1    0   1     340
  8:00 AM       0     0    0    0    70    1     0   71    0    0    0   0     71
  8:15 AM       0     0    0    0    75    2     0   77    0    0    0   0     77
  8:30 AM       0     0    0    0    59    0     2   61    0    2    0   2     63
  8:45 AM       0     3    0    3    68    0     2   70    0    0    0   0     73
Hourly Total    0     3    0    3    272   3     4   279   0    2    0   2     284
  9:00 AM       0     5    0    5    52    0     1   53    0    2    0   2     60
  9:15 AM       0     2    0    2    66    0     0   66    0    0    0   0     68
  9:30 AM       0     0    0    0    58    1     0   59    1    0    0   1     60
  9:45 AM       0     9    0    9    65    0     0   65    1    0    0   1     75
Hourly Total    0    16    0   16    241   1     1   243   2    2    0   4     263
  10:00 AM      0     3    0    3    37    0     0   37    0    0    0   0     40
  10:15 AM      0     1    0    1    38    2     0   40    0    0    0   0     41
  10:30 AM      1    11    0   12    45    2     0   47    0    1    0   1     60
  10:45 AM      8    47    0   55    53    10    0   63    0    2    0   2     120
Hourly Total    9    62    0   71    173   14    0   187   0    3    0   3     261
  11:00 AM      11   39    0   50    64    15    0   79    0    2    0   2     131
  11:15 AM      8    42    0   50    69    15    0   84    0    1    0   1     135
  11:30 AM      7    34    0   41    64    19    0   83    1    0    0   1     125
  11:45 AM      6    44    0   50    65    11    0   76    1    2    0   3     129
Hourly Total    32   159   0   191   262   60    0   322   2    5    0   7     520
  12:00 PM      13   47    0   60    63    20    0   83    2    3    0   5     148
  12:15 PM      12   66    0   78    81    16    0   97    18   5    0   23    198
  12:30 PM      9    58    0   67    68    19    0   87    14   6    0   20    174
  12:45 PM      5    65    0   70    79    25    0   104   10   4    0   14    188
Hourly Total    39   236   0   275   291   80    0   371   44   18   0   62    708
  1:00 PM       10   71    0   81    86    21    0   107   14   4    0   18    206
  1:15 PM       13   70    0   83    100   24    0   124   21   12   0   33    240
 1:30 PM        17     59    0      76     70    27      0      97    17      2     0     19      192
 1:45 PM        8      79    0      87     73    23      0      96    17      3     0     20      203
Hourly Total    48    279    0     327    329    95      0     424    69     21     0     90      841
 2:00 PM        10     64    0      74     91    18      0     109    14      8     0     22      205
 2:15 PM        10     55    0      65     69    12      0      81    21      3     0     24      170
 2:30 PM        5      76    0      81     78    21      0      99    15      8     0     23      203
 2:45 PM        9      62    0      71     78    34      0     112    18      6     0     24      207
Hourly Total    34    257    0     291    316    85      0     401    68     25     0     93      785
 3:00 PM        22     65    0      87     77    15      0      92    17      5     0     22      201
 3:15 PM        14     68    0      82     83    18      0     101    17      4     0     21      204
 3:30 PM        15     75    0      90     77    33      0     110    15      3     0     18      218
 3:45 PM        14     78    0      92     85    20      0     105    17      8     0     25      222
Hourly Total    65    286    0     351    322    86      0     408    66     20     0     86      845
 4:00 PM        28    100    0     128     81    23      0     104    23      4     0     27      259
 4:15 PM        17     92    0     109     73    29      0     102    19      9     0     28      239
 4:30 PM        16     86    0     102     91    42      0     133    27      4     0     31      266
 4:45 PM        17     99    0     116     74    28      0     102    22      4     0     26      244
Hourly Total    78    377    0     455    319    122     0     441    91     21     0     112    1008
 5:00 PM        16     99    0     115     74    33      0     107    18      7     0     25      247
 5:15 PM        27    128    0     155     70    32      0     102    21      7     0     28      285
 5:30 PM        21    108    0     129     56    23      0      79    15      3     0     18      226
 5:45 PM        24     81    0     105     53     9      0      62    18      3     0     21      188
Hourly Total    88    416    0     504    253    97      0     350    72     20     0     92      946
 6:00 PM        15     91    0     106     46    14      0      60    21      2     0     23      189
 6:15 PM        14     73    0      87     59    19      0      78    17      2     0     19      184
 6:30 PM        8      44    0      52     59    19      0      78     9      2     0     11      141
 6:45 PM        15     44    0      59     43    17      0      60    11      1     0     12      131
Hourly Total    52    252    0     304    207    69      0     276    58      7     0     65      645
Grand Total    1021   5377   0     6398   6497   1708    5     8210   1244   392    0     1636   16244
Approach %     16.0   84.0   0.0    -     79.1   20.8   0.1     -     76.0   24.0   0.0    -       -
  Total %      6.3    33.1   0.0   39.4   40.0   10.5   0.0    50.5   7.7    2.4    0.0   10.1     -
    Car        992    5038   0     6030   6044   1654    1     7699   1200   372    0     1572   15301
  % Car        97.2   93.7    -    94.2   93.0   96.8   20.0   93.8   96.5   94.9    -    96.1   94.2
  Medium        25    203    0     228    292    47      4     343    39     19     0     58      629
% Medium       2.4    3.8     -    3.6    4.5    2.8    80.0   4.2    3.1    4.8     -    3.5     3.9
  Heavy         4     136    0     140    161     7      0     168     5      1     0      6      314
 % Heavy       0.4    2.5     -    2.2    2.5    0.4    0.0    2.0    0.4    0.3     -    0.4     1.9
                                                                            Wenatchee Valley Transportation Council     Count Name: South Wenatchee Avenue /
                                                                                       1350 McKittrick St               Crawford Street
                                                                                            Suite B                     Site Code:
                                                                           Wenatchee, Washington, United States 98801   Start Date: 07/31/2013
                                                                                  509.663.9059 nick@wvtc.org            Page No: 4




                                                                                         Southbound Approach [N]
                                                                                          Out      In        Total
                                                                                          6416    6030       12446
                                                                                          311     228         539
                                                                                          162     140         302
                                                                                          6889    6398       13287


                                                                                          992     5038        0
                                                                                           25     203         0
                                                                                           4      136         0
                                                                                          1021    5377        0
                                                                                           R        T         U



Eastbound Approach [W]
                         Total
                                 4218




                                                   4365
                                        130
                                              17




                                                                                 U
                                                          0
                                                                 0
                                                                      0
                                                                          0
                                 1572




                                                   1636                                 07/31/2013 7:00 AM

                                                          372



                                                                          392
                                        58




                                                                 19
                         In




                                              6




                                                                      1


                                                                                 L
                                                                                        Ending At
                                                                                        08/01/2013 7:00 PM
                                                                                        Car
                                 2646




                                                   2729


                                                          1200



                                                                          1244
                         Out


                                        72
                                              11




                                                                 39



                                                                                 R
                                                                      5
                                                                                        Medium
                                                                                        Heavy




                                                                                           U        L         T
                                                                                           1      1654       6044
                                                                                           4       47         292
                                                                                           0        7         161
                                                                                           5      1708       6497


                                                                                          6239    7699       13938
                                                                                          246     343         589
                                                                                          141     168         309
                                                                                          6626    8210       14836
                                                                                          Out      In        Total
                                                                                         Northbound Approach [S]



                                                                                 Turning Movement Data Plot
                                                                  Wenatchee Valley Transportation Council                                    Count Name: South Wenatchee Avenue /
                                                                             1350 McKittrick St                                              Crawford Street
                                                                                  Suite B                                                    Site Code:
                                                                 Wenatchee, Washington, United States 98801                                  Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                           Page No: 5




                                                   Turning Movement Peak Hour Data (10:00 AM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 10:00 AM     11      52                    0          63               72           11                    0         83         15      10                   0         25          171
 10:15 AM     8       42                    0          50               66           13                    0         79         16      7                    0         23          152
 10:30 AM     14      58                    0          72               56           17                    0         73         17      5                    0         22          167
 10:45 AM     4       53                    0          57               53           21                    0         74         16      4                    0         20          151
  Total       37     205                    0          242             247           62                    0         309        64      26                   0         90          641
Approach %   15.3    84.7                  0.0          -              79.9         20.1                  0.0         -        71.1    28.9                 0.0         -            -
 Total %      5.8    32.0                  0.0        37.8             38.5          9.7                  0.0       48.2       10.0     4.1                 0.0       14.0           -
   PHF       0.661   0.884                0.000       0.840            0.858        0.738                0.000      0.931      0.941   0.650               0.000      0.900       0.937
   Car        36     189                    0          225             224           53                    0         277        61      26                   0         87          589
  % Car      97.3    92.2                   -         93.0             90.7         85.5                   -        89.6       95.3    100.0                 -        96.7         91.9
 Medium       0       8                     0           8               11           9                     0         20         3       0                    0          3           31
% Medium      0.0     3.9                   -          3.3              4.5         14.5                   -         6.5        4.7     0.0                  -         3.3          4.8
  Heavy       1       8                     0           9               12           0                     0         12         0       0                    0          0           21
 % Heavy      2.7     3.9                   -          3.7              4.9          0.0                   -         3.9        0.0     0.0                  -         0.0          3.3
                                                                    Wenatchee Valley Transportation Council     Count Name: South Wenatchee Avenue /
                                                                               1350 McKittrick St               Crawford Street
                                                                                    Suite B                     Site Code:
                                                                   Wenatchee, Washington, United States 98801   Start Date: 07/31/2013
                                                                          509.663.9059 nick@wvtc.org            Page No: 6




                                                                                Southbound Approach [N]
                                                                                 Out      In     Total
                                                                                 250     225         475
                                                                                  11       8         19
                                                                                  12       9         21
                                                                                 273     242         515


                                                                                  36     189         0
                                                                                  0        8         0
                                                                                  1        8         0
                                                                                  37     205         0
                                                                                  R       T          U




                                                                             Peak Hour Data
Eastbound Approach [W]
                         Total
                                 176




                                                189
                                       12




                                                                        U
                                            1



                                                      0
                                                           0
                                                               0
                                                                   0
                                                                               07/31/2013 10:00 AM
                                 87




                                                90


                                                      26



                                                                   26
                         In


                                       3
                                            0




                                                           0
                                                               0


                                                                        L
                                                                               Ending At
                                                                               07/31/2013 11:00 AM
                                                                               Car
                         Out
                                 89




                                                99


                                                      61



                                                                   64
                                                                        R
                                       9
                                            1




                                                           3
                                                               0
                                                                               Medium
                                                                               Heavy




                                                                                  U        L         T
                                                                                  0       53         224
                                                                                  0        9         11
                                                                                  0        0         12
                                                                                  0       62         247


                                                                                 250     277         527
                                                                                  11      20         31
                                                                                  8       12         20
                                                                                 269     309         578
                                                                                 Out      In     Total
                                                                                Northbound Approach [S]



                                            Turning Movement Peak Hour Data Plot (10:00 AM)
                                                                  Wenatchee Valley Transportation Council                                    Count Name: South Wenatchee Avenue /
                                                                             1350 McKittrick St                                              Crawford Street
                                                                                  Suite B                                                    Site Code:
                                                                 Wenatchee, Washington, United States 98801                                  Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                           Page No: 7




                                                   Turning Movement Peak Hour Data (4:30 PM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 4:30 PM      20     102                    0          122             108           32                    0         140        17      7                    0         24          286
 4:45 PM      23     101                    0          124              81           39                    0         120        22      5                    0         27          271
 5:00 PM      33      96                    0          129              76           39                    0         115        22      6                    0         28          272
 5:15 PM      25     105                    0          130              69           27                    0         96         22      10                   0         32          258
  Total      101     404                    0          505             334          137                    0         471        83      28                   0         111         1087
Approach %   20.0    80.0                  0.0          -              70.9         29.1                  0.0         -        74.8    25.2                 0.0         -            -
 Total %      9.3    37.2                  0.0        46.5             30.7         12.6                  0.0       43.3        7.6     2.6                 0.0       10.2           -
   PHF       0.765   0.962                0.000       0.971            0.773        0.878                0.000      0.841      0.943   0.700               0.000      0.867       0.950
   Car       101     393                    0          494             322          135                    0         457        82      27                   0         109         1060
  % Car      100.0   97.3                   -         97.8             96.4         98.5                   -        97.0       98.8    96.4                  -        98.2         97.5
 Medium       0       5                     0           5               9            2                     0         11         1       0                    0          1           17
% Medium      0.0     1.2                   -          1.0              2.7          1.5                   -         2.3        1.2     0.0                  -         0.9          1.6
  Heavy       0       6                     0           6               3            0                     0          3         0       1                    0          1           10
 % Heavy      0.0     1.5                   -          1.2              0.9          0.0                   -         0.6        0.0     3.6                  -         0.9          0.9
                                                                   Wenatchee Valley Transportation Council     Count Name: South Wenatchee Avenue /
                                                                              1350 McKittrick St               Crawford Street
                                                                                   Suite B                     Site Code:
                                                                  Wenatchee, Washington, United States 98801   Start Date: 07/31/2013
                                                                         509.663.9059 nick@wvtc.org            Page No: 8




                                                                               Southbound Approach [N]
                                                                                Out      In        Total
                                                                                349     494        843
                                                                                 9        5         14
                                                                                 4        6         10
                                                                                362     505        867


                                                                                101     393         0
                                                                                 0        5         0
                                                                                 0        6         0
                                                                                101     404         0
                                                                                 R        T         U




                                                                            Peak Hour Data
Eastbound Approach [W]
                         Total
                                 345




                                               349




                                                                       U
                                       3
                                           1



                                                     0
                                                          0
                                                              0
                                                                  0
                                                                              07/31/2013 4:30 PM
                                 109




                                               111


                                                     27



                                                                  28
                         In


                                       1
                                           1




                                                          0
                                                              1


                                                                       L
                                                                              Ending At
                                                                              07/31/2013 5:30 PM
                                                                              Car
                                 236




                                               238
                         Out




                                                     82



                                                                  83
                                                                       R
                                       2
                                           0




                                                          1
                                                              0
                                                                              Medium
                                                                              Heavy




                                                                                 U        L         T
                                                                                 0      135        322
                                                                                 0        2         9
                                                                                 0        0         3
                                                                                 0      137        334


                                                                                475     457        932
                                                                                 6       11         17
                                                                                 6        3         9
                                                                                487     471        958
                                                                                Out      In        Total
                                                                               Northbound Approach [S]



                                           Turning Movement Peak Hour Data Plot (4:30 PM)
                                                                  Wenatchee Valley Transportation Council                                   Count Name: South Wenatchee Avenue /
                                                                             1350 McKittrick St                                             Crawford Street
                                                                                  Suite B                                                   Site Code:
                                                                 Wenatchee, Washington, United States 98801                                 Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                          Page No: 9




                                                   Turning Movement Peak Hour Data (11:00 AM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 11:00 AM     11      39                    0          50               64           15                    0         79         0       2                    0          2          131
 11:15 AM     8       42                    0          50               69           15                    0         84         0       1                    0          1          135
 11:30 AM     7       34                    0          41               64           19                    0         83         1       0                    0          1          125
 11:45 AM     6       44                    0          50               65           11                    0         76         1       2                    0          3          129
  Total       32     159                    0          191             262           60                    0         322        2       5                    0          7          520
Approach %   16.8    83.2                  0.0          -              81.4         18.6                  0.0         -        28.6    71.4                 0.0         -            -
 Total %      6.2    30.6                  0.0        36.7             50.4         11.5                  0.0       61.9        0.4     1.0                 0.0        1.3           -
   PHF       0.727   0.903                0.000       0.955            0.949        0.789                0.000      0.958      0.500   0.625               0.000      0.583       0.963
   Car        31     145                    0          176             238           57                    0         295        2       5                    0          7          478
  % Car      96.9    91.2                   -         92.1             90.8         95.0                   -        91.6       100.0   100.0                 -        100.0        91.9
 Medium       1       9                     0          10               17           3                     0         20         0       0                    0          0           30
% Medium      3.1     5.7                   -          5.2              6.5          5.0                   -         6.2        0.0     0.0                  -         0.0          5.8
  Heavy       0       5                     0           5               7            0                     0          7         0       0                    0          0           12
 % Heavy      0.0     3.1                   -          2.6              2.7          0.0                   -         2.2        0.0     0.0                  -         0.0          2.3
                                                                Wenatchee Valley Transportation Council     Count Name: South Wenatchee Avenue /
                                                                           1350 McKittrick St               Crawford Street
                                                                                Suite B                     Site Code:
                                                               Wenatchee, Washington, United States 98801   Start Date: 07/31/2013
                                                                      509.663.9059 nick@wvtc.org            Page No: 10




                                                                            Southbound Approach [N]
                                                                             Out      In     Total
                                                                             243     176         419
                                                                              17      10         27
                                                                              7        5         12
                                                                             267     191         458


                                                                              31     145         0
                                                                              1        9         0
                                                                              0        5         0
                                                                              32     159         0
                                                                              R       T          U




                                                                         Peak Hour Data
Eastbound Approach [W]
                         Total
                                 95




                                              99




                                                                   U
                                      4
                                          0



                                                   0
                                                       0
                                                           0
                                                               0
                                                                           08/01/2013 11:00 AM
                         In
                                 7
                                      0
                                          0
                                              7


                                                   5
                                                       0
                                                           0
                                                               5
                                                                   L
                                                                           Ending At
                                                                           08/01/2013 12:00 PM
                                                                           Car
                         Out
                                 88




                                              92




                                                                   R
                                      4
                                          0



                                                   2
                                                       0
                                                           0
                                                               2
                                                                           Medium
                                                                           Heavy




                                                                              U        L         T
                                                                              0       57         238
                                                                              0        3         17
                                                                              0        0         7
                                                                              0       60         262


                                                                             147     295         442
                                                                              9       20         29
                                                                              5        7         12
                                                                             161     322         483
                                                                             Out      In     Total
                                                                            Northbound Approach [S]



                                          Turning Movement Peak Hour Data Plot (11:00 AM)
                                                                  Wenatchee Valley Transportation Council                                    Count Name: South Wenatchee Avenue /
                                                                             1350 McKittrick St                                              Crawford Street
                                                                                  Suite B                                                    Site Code:
                                                                 Wenatchee, Washington, United States 98801                                  Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                           Page No: 11




                                                   Turning Movement Peak Hour Data (4:30 PM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 4:30 PM      16      86                    0          102              91           42                    0         133        27      4                    0         31          266
 4:45 PM      17      99                    0          116              74           28                    0         102        22      4                    0         26          244
 5:00 PM      16      99                    0          115              74           33                    0         107        18      7                    0         25          247
 5:15 PM      27     128                    0          155              70           32                    0         102        21      7                    0         28          285
  Total       76     412                    0          488             309          135                    0         444        88      22                   0         110         1042
Approach %   15.6    84.4                  0.0          -              69.6         30.4                  0.0         -        80.0    20.0                 0.0         -            -
 Total %      7.3    39.5                  0.0        46.8             29.7         13.0                  0.0       42.6        8.4     2.1                 0.0       10.6           -
   PHF       0.704   0.805                0.000       0.787            0.849        0.804                0.000      0.835      0.815   0.786               0.000      0.887       0.914
   Car        75     405                    0          480             297          131                    0         428        86      22                   0         108         1016
  % Car      98.7    98.3                   -         98.4             96.1         97.0                   -        96.4       97.7    100.0                 -        98.2         97.5
 Medium       1       5                     0           6               8            3                     0         11         1       0                    0          1           18
% Medium      1.3     1.2                   -          1.2              2.6          2.2                   -         2.5        1.1     0.0                  -         0.9          1.7
  Heavy       0       2                     0           2               4            1                     0          5         1       0                    0          1            8
 % Heavy      0.0     0.5                   -          0.4              1.3          0.7                   -         1.1        1.1     0.0                  -         0.9          0.8
                                                                   Wenatchee Valley Transportation Council     Count Name: South Wenatchee Avenue /
                                                                              1350 McKittrick St               Crawford Street
                                                                                   Suite B                     Site Code:
                                                                  Wenatchee, Washington, United States 98801   Start Date: 07/31/2013
                                                                         509.663.9059 nick@wvtc.org            Page No: 12




                                                                               Southbound Approach [N]
                                                                                Out      In        Total
                                                                                319     480        799
                                                                                 8        6         14
                                                                                 4        2         6
                                                                                331     488        819


                                                                                 75     405         0
                                                                                 1        5         0
                                                                                 0        2         0
                                                                                 76     412         0
                                                                                 R        T         U




                                                                            Peak Hour Data
Eastbound Approach [W]
                         Total
                                 314




                                               321




                                                                       U
                                       5
                                           2



                                                     0
                                                          0
                                                              0
                                                                  0
                                                                              08/01/2013 4:30 PM
                                 108




                                               110


                                                     22



                                                                  22
                         In


                                       1
                                           1




                                                          0
                                                              0


                                                                       L
                                                                              Ending At
                                                                              08/01/2013 5:30 PM
                                                                              Car
                                 206




                                               211
                         Out




                                                     86



                                                                  88
                                                                       R
                                       4
                                           1




                                                          1
                                                              1
                                                                              Medium
                                                                              Heavy




                                                                                 U        L         T
                                                                                 0      131        297
                                                                                 0        3         8
                                                                                 0        1         4
                                                                                 0      135        309


                                                                                491     428        919
                                                                                 6       11         17
                                                                                 3        5         8
                                                                                500     444        944
                                                                                Out      In        Total
                                                                               Northbound Approach [S]



                                           Turning Movement Peak Hour Data Plot (4:30 PM)
 Wenatchee Valley Transportation Council     Count Name: South Wenatchee Avenue /
            1350 McKittrick St               Crawford Street
                 Suite B                     Site Code:
Wenatchee, Washington, United States 98801   Start Date: 07/31/2013
       509.663.9059 nick@wvtc.org            Page No: 13

