                                                                  Wenatchee Valley Transportation Council
                                                                             1350 McKittrick St                                            Count Name: Euclid Interchange south of US2
                                                                                  Suite B                                                  Site Code:
                                                                 Wenatchee, Washington, United States 98801                                Start Date: 04/17/2013
                                                                        509.663.9059 nick@wvtc.org                                         Page No: 1



                                                                     Turning Movement Data
                       Southbound Approach                                           Northbound Approach                               Eastbound Approach
                              Southbound                                                   Northbound                                        Eastbound
Start Time
               Right   Thru                U-Turn   App. Total         Thru         Left                U-Turn   App. Total   Right   Left               U-Turn   App. Total   Int. Total
  9:45 AM       11    29    0   40    35    18    0   53    2    9    0   11   104
Hourly Total    71    123   0   194   127   62    0   189   14   27   0   41   424
  10:00 AM      16    29    0   45    41    19    0   60    4    15   0   19   124
  10:15 AM      23    32    0   55    30    26    0   56    1    8    0   9    120
  10:30 AM      24    32    0   56    21    29    0   50    8    9    0   17   123
  10:45 AM      18    29    0   47    48    15    0   63    7    11   0   18   128
Hourly Total    81    122   0   203   140   89    0   229   20   43   0   63   495
  11:00 AM      17    36    0   53    33    19    0   52    3    8    0   11   116
  11:15 AM      12    36    0   48    31    21    0   52    5    7    0   12   112
  11:30 AM      19    26    0   45    24    22    0   46    4    14   0   18   109
  11:45 AM      15    35    0   50    26    21    0   47    3    7    0   10   107
Hourly Total    63    133   0   196   114   83    0   197   15   36   0   51   444
  12:00 PM      29    30    0   59    39    19    0   58    2    14   0   16   133
  12:15 PM      18    32    0   50    49    20    0   69    4    7    0   11   130
  12:30 PM      19    26    0   45    24    23    0   47    9    11   0   20   112
  12:45 PM      22    37    0   59    38    15    0   53    5    14   0   19   131
Hourly Total    88    125   0   213   150   77    0   227   20   46   0   66   506
  1:00 PM       23    39    0   62    41    15    0   56    3    8    0   11   129
  1:15 PM       24    39    0   63    43    24    0   67    6    8    0   14   144
 1:30 PM        29     35    0      64     37    24      0       61     3      7      0      10      135
 1:45 PM        26     35    0      61     39    15      0       54     9      8      0      17      132
Hourly Total   102    148    0     250    160    78      0      238    21     31      0      52      540
 2:00 PM        21     38    0      59     43    19      0       62     6     10      0      16      137
 2:15 PM        35     42    0      77     48    47      0       95     2     14      0      16      188
 2:30 PM        47     49    0      96     35    44      0       79     3     14      0      17      192
 2:45 PM        36     43    0      79     23    32      0       55     0     11      0      11      145
Hourly Total   139    172    0     311    149    142     0      291    11     49      0      60      662
 3:00 PM        31     36    0      67     55    22      0       77     3     11      0      14      158
 3:15 PM        37     43    0      80     48    27      0       75     7      7      0      14      169
 3:30 PM        56     49    0     105     63    69      0      132     9     13      0      22      259
 3:45 PM        44     43    0      87     52    35      0       87    12     11      0      23      197
Hourly Total   168    171    0     339    218    153     0      371    31     42      0      73      783
 4:00 PM        34     41    0      75     41    47      0       88     6     10      0      16      179
 4:15 PM        31     45    0      76     52    47      0       99     7      9      0      16      191
 4:30 PM        32     27    0      59     42    47      0       89     2      8      0      10      158
 4:45 PM        30     31    0      61     52    32      0       84     4     11      0      15      160
Hourly Total   127    144    0     271    187    173     0      360    19     38      0      57      688
 5:00 PM        58     23    0      81     46    40      0       86     2     10      0      12      179
 5:15 PM        34     18    0      52     45    33      0       78     2     15      0      17      147
 5:30 PM        16     28    0      44     25    30      0       55     2      8      0      10      109
 5:45 PM        18     16    0      34     28    26      0       54     0     12      0      12      100
Hourly Total   126     85    0     211    144    129     0      273     6     45      0      51      535
 6:00 PM        18     25    0      43     26    22      0       48     1      9      0      10      101
 6:15 PM        8      15    0      23     21    12      0       33     4     13      1      18      74
 6:30 PM        5      15    0      20     17    10      0       27     2     10      0      12      59
 6:45 PM        9      18    0      27     15    10      0       25     2      5      0       7      59
Hourly Total    40     73    0     113     79    54      0      133     9     37      1      47      293
Grand Total    2342   3445   0     5787   3480   2338    1      5819   414    856     1      1271   12877
Approach %     40.5   59.5   0.0    -     59.8   40.2    0.0     -     32.6   67.3    0.1     -       -
  Total %      18.2   26.8   0.0   44.9   27.0   18.2    0.0    45.2   3.2    6.6     0.0    9.9      -
    Car        1964   2903   0     4867   3046   2015    1      5062   282    804     1      1087   11016
  % Car        83.9   84.3    -    84.1   87.5   86.2   100.0   87.0   68.1   93.9   100.0   85.5   85.5
  Medium       124    211    0     335    190    92      0      282    45     27      0      72      689
% Medium       5.3    6.1     -    5.8    5.5    3.9     0.0    4.8    10.9   3.2     0.0    5.7     5.4
  Heavy        254    331    0     585    244    231     0      475    87     25      0      112    1172
 % Heavy       10.8   9.6     -    10.1   7.0    9.9     0.0    8.2    21.0   2.9     0.0    8.8     9.1
                                                                             Wenatchee Valley Transportation Council
                                                                                        1350 McKittrick St               Count Name: Euclid Interchange south of US2
                                                                                             Suite B                     Site Code:
                                                                            Wenatchee, Washington, United States 98801   Start Date: 04/17/2013
                                                                                   509.663.9059 nick@wvtc.org            Page No: 4




                                                                                         Southbound Approach [N]
                                                                                          Out      In        Total
                                                                                          3850    4867       8717
                                                                                          217     335         552
                                                                                          269     585         854
                                                                                          4336    5787       10123


                                                                                          1964    2903        0
                                                                                          124     211         0
                                                                                          254     331         0
                                                                                          2342    3445        0
                                                                                           R        T         U



Eastbound Approach [W]
                         Total
                                 5067




                                                    5952
                                        288
                                              597




                                                                                 U
                                                           1
                                                                 0
                                                                      0
                                                                           1
                                 1087




                                                    1271                                04/17/2013 7:00 AM
                                              112



                                                           804



                                                                           856
                                        72




                                                                 27
                                                                      25
                         In




                                                                                 L
                                                                                        Ending At
                                                                                        04/18/2013 7:00 PM
                                                                                        Car
                                 3980




                                                    4681
                                        216
                                              485



                                                           282



                                                                           414
                         Out




                                                                 45
                                                                      87


                                                                                 R
                                                                                        Medium
                                                                                        Heavy




                                                                                           U        L         T
                                                                                           1      2015       3046
                                                                                           0       92         190
                                                                                           0      231         244
                                                                                           1      2338       3480


                                                                                          3186    5062       8248
                                                                                          256     282         538
                                                                                          418     475         893
                                                                                          3860    5819       9679
                                                                                          Out      In        Total
                                                                                         Northbound Approach [S]



                                                                                 Turning Movement Data Plot
                                                                  Wenatchee Valley Transportation Council
                                                                             1350 McKittrick St                                              Count Name: Euclid Interchange south of US2
                                                                                  Suite B                                                    Site Code:
                                                                 Wenatchee, Washington, United States 98801                                  Start Date: 04/17/2013
                                                                        509.663.9059 nick@wvtc.org                                           Page No: 5




                                                   Turning Movement Peak Hour Data (7:45 AM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 7:45 AM      24      63                    0          87               29           11                    0         40         6       6                    0         12          139
 8:00 AM      20      54                    0          74               35           9                     0         44         3       8                    0         11          129
 8:15 AM      20      41                    0          61               36           16                    0         52         8       9                    0         17          130
 8:30 AM      29      43                    0          72               28           19                    0         47         4       6                    0         10          129
  Total       93     201                    0          294             128           55                    0         183        21      29                   0         50          527
Approach %   31.6    68.4                  0.0          -              69.9         30.1                  0.0         -        42.0    58.0                 0.0         -            -
 Total %     17.6    38.1                  0.0        55.8             24.3         10.4                  0.0       34.7        4.0     5.5                 0.0        9.5           -
   PHF       0.802   0.798                0.000       0.845            0.889        0.724                0.000      0.880      0.656   0.806               0.000      0.735       0.948
   Car        76     171                    0          247             105           31                    0         136        15      28                   0         43          426
  % Car      81.7    85.1                   -         84.0             82.0         56.4                   -        74.3       71.4    96.6                  -        86.0         80.8
 Medium       5       17                    0          22               11           10                    0         21         3       1                    0          4           47
% Medium      5.4     8.5                   -          7.5              8.6         18.2                   -        11.5       14.3     3.4                  -         8.0          8.9
  Heavy       12      13                    0          25               12           14                    0         26         3       0                    0          3           54
 % Heavy     12.9     6.5                   -          8.5              9.4         25.5                   -        14.2       14.3     0.0                  -         6.0         10.2
                                                                     Wenatchee Valley Transportation Council
                                                                                1350 McKittrick St               Count Name: Euclid Interchange south of US2
                                                                                     Suite B                     Site Code:
                                                                    Wenatchee, Washington, United States 98801   Start Date: 04/17/2013
                                                                           509.663.9059 nick@wvtc.org            Page No: 6




                                                                                 Southbound Approach [N]
                                                                                  Out      In        Total
                                                                                  133     247        380
                                                                                   12      22         34
                                                                                   12      25         37
                                                                                  157     294        451


                                                                                   76     171         0
                                                                                   5       17         0
                                                                                   12      13         0
                                                                                   93     201         0
                                                                                   R        T         U




                                                                              Peak Hour Data
Eastbound Approach [W]
                         Total
                                 150




                                                 198
                                       19
                                            29




                                                                         U
                                                       0
                                                            0
                                                                0
                                                                    0
                                                                                04/17/2013 7:45 AM
                                 43




                                                 50


                                                       28



                                                                    29
                         In


                                       4
                                            3




                                                            1
                                                                0


                                                                         L
                                                                                Ending At
                                                                                04/17/2013 8:45 AM
                                                                                Car
                                 107




                                                 148
                         Out


                                       15
                                            26



                                                       15



                                                                    21
                                                                         R
                                                            3
                                                                3
                                                                                Medium
                                                                                Heavy




                                                                                   U        L         T
                                                                                   0       31        105
                                                                                   0       10         11
                                                                                   0       14         12
                                                                                   0       55        128


                                                                                  186     136        322
                                                                                   20      21         41
                                                                                   16      26         42
                                                                                  222     183        405
                                                                                  Out      In        Total
                                                                                 Northbound Approach [S]



                                            Turning Movement Peak Hour Data Plot (7:45 AM)
                                                                  Wenatchee Valley Transportation Council
                                                                             1350 McKittrick St                                              Count Name: Euclid Interchange south of US2
                                                                                  Suite B                                                    Site Code:
                                                                 Wenatchee, Washington, United States 98801                                  Start Date: 04/17/2013
                                                                        509.663.9059 nick@wvtc.org                                           Page No: 7




                                                   Turning Movement Peak Hour Data (2:45 PM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 2:45 PM      47      63                    0          110              43           30                    0         73         1       6                    0          7          190
 3:00 PM      47      43                    0          90               51           21                    0         72         5       7                    0         12          174
 3:15 PM      38      43                    0          81               54           23                    0         77         7       7                    0         14          172
 3:30 PM      46      67                    0          113              59           74                    0         133        7       7                    0         14          260
  Total      178     216                    0          394             207          148                    0         355        20      27                   0         47          796
Approach %   45.2    54.8                  0.0          -              58.3         41.7                  0.0         -        42.6    57.4                 0.0         -            -
 Total %     22.4    27.1                  0.0        49.5             26.0         18.6                  0.0       44.6        2.5     3.4                 0.0        5.9           -
   PHF       0.947   0.806                0.000       0.872            0.877        0.500                0.000      0.667      0.714   0.964               0.000      0.839       0.765
   Car       154     191                    0          345             186          137                    0         323        16      27                   0         43          711
  % Car      86.5    88.4                   -         87.6             89.9         92.6                   -        91.0       80.0    100.0                 -        91.5         89.3
 Medium       8       12                    0          20               8            5                     0         13         0       0                    0          0           33
% Medium      4.5     5.6                   -          5.1              3.9          3.4                   -         3.7        0.0     0.0                  -         0.0          4.1
  Heavy       16      13                    0          29               13           6                     0         19         4       0                    0          4           52
 % Heavy      9.0     6.0                   -          7.4              6.3          4.1                   -         5.4       20.0     0.0                  -         8.5          6.5
                                                                     Wenatchee Valley Transportation Council
                                                                                1350 McKittrick St               Count Name: Euclid Interchange south of US2
                                                                                     Suite B                     Site Code:
                                                                    Wenatchee, Washington, United States 98801   Start Date: 04/17/2013
                                                                           509.663.9059 nick@wvtc.org            Page No: 8




                                                                                 Southbound Approach [N]
                                                                                  Out      In        Total
                                                                                  213     345        558
                                                                                   8       20         28
                                                                                   13      29         42
                                                                                  234     394        628


                                                                                  154     191         0
                                                                                   8       12         0
                                                                                   16      13         0
                                                                                  178     216         0
                                                                                   R        T         U




                                                                              Peak Hour Data
Eastbound Approach [W]
                         Total
                                 334




                                                 373
                                       13
                                            26




                                                                         U
                                                       0
                                                            0
                                                                0
                                                                    0
                                                                                04/17/2013 2:45 PM
                                 43




                                                 47


                                                       27



                                                                    27
                         In


                                       0
                                            4




                                                            0
                                                                0


                                                                         L
                                                                                Ending At
                                                                                04/17/2013 3:45 PM
                                                                                Car
                                 291




                                                 326
                         Out


                                       13
                                            22



                                                       16



                                                                    20
                                                                         R
                                                            0
                                                                4
                                                                                Medium
                                                                                Heavy




                                                                                   U        L         T
                                                                                   0      137        186
                                                                                   0        5         8
                                                                                   0        6         13
                                                                                   0      148        207


                                                                                  207     323        530
                                                                                   12      13         25
                                                                                   17      19         36
                                                                                  236     355        591
                                                                                  Out      In        Total
                                                                                 Northbound Approach [S]



                                            Turning Movement Peak Hour Data Plot (2:45 PM)
                                                                  Wenatchee Valley Transportation Council
                                                                             1350 McKittrick St                                              Count Name: Euclid Interchange south of US2
                                                                                  Suite B                                                    Site Code:
                                                                 Wenatchee, Washington, United States 98801                                  Start Date: 04/17/2013
                                                                        509.663.9059 nick@wvtc.org                                           Page No: 9




                                                   Turning Movement Peak Hour Data (7:30 AM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 7:30 AM      29      58                    0          87               40           7                     0         47         6       8                    0         14          148
 7:45 AM      17      80                    0          97               33           13                    0         46         4       10                   0         14          157
 8:00 AM      20      54                    0          74               32           15                    0         47         4       11                   0         15          136
 8:15 AM      23      39                    0          62               31           13                    0         44         6       8                    0         14          120
  Total       89     231                    0          320             136           48                    0         184        20      37                   0         57          561
Approach %   27.8    72.2                  0.0          -              73.9         26.1                  0.0         -        35.1    64.9                 0.0         -            -
 Total %     15.9    41.2                  0.0        57.0             24.2          8.6                  0.0       32.8        3.6     6.6                 0.0       10.2           -
   PHF       0.767   0.722                0.000       0.825            0.850        0.800                0.000      0.979      0.833   0.841               0.000      0.950       0.893
   Car        62     203                    0          265             117           26                    0         143        13      32                   0         45          453
  % Car      69.7    87.9                   -         82.8             86.0         54.2                   -        77.7       65.0    86.5                  -        78.9         80.7
 Medium       6       7                     0          13               13           7                     0         20         2       1                    0          3           36
% Medium      6.7     3.0                   -          4.1              9.6         14.6                   -        10.9       10.0     2.7                  -         5.3          6.4
  Heavy       21      21                    0          42               6            15                    0         21         5       4                    0          9           72
 % Heavy     23.6     9.1                   -         13.1              4.4         31.3                   -        11.4       25.0    10.8                  -        15.8         12.8
                                                                     Wenatchee Valley Transportation Council
                                                                                1350 McKittrick St               Count Name: Euclid Interchange south of US2
                                                                                     Suite B                     Site Code:
                                                                    Wenatchee, Washington, United States 98801   Start Date: 04/17/2013
                                                                           509.663.9059 nick@wvtc.org            Page No: 10




                                                                                 Southbound Approach [N]
                                                                                  Out      In        Total
                                                                                  149     265        414
                                                                                   14      13         27
                                                                                   10      42         52
                                                                                  173     320        493


                                                                                   62     203         0
                                                                                   6        7         0
                                                                                   21      21         0
                                                                                   89     231         0
                                                                                   R        T         U




                                                                              Peak Hour Data
Eastbound Approach [W]
                         Total
                                 133




                                                 194
                                       16
                                            45




                                                                         U
                                                       0
                                                            0
                                                                0
                                                                    0
                                                                                04/18/2013 7:30 AM
                                 45




                                                 57


                                                       32



                                                                    37
                         In


                                       3
                                            9




                                                            1
                                                                4


                                                                         L
                                                                                Ending At
                                                                                04/18/2013 8:30 AM
                                                                                Car
                                                 137
                         Out
                                 88
                                       13
                                            36



                                                       13



                                                                    20
                                                                         R
                                                            2
                                                                5
                                                                                Medium
                                                                                Heavy




                                                                                   U        L         T
                                                                                   0       26        117
                                                                                   0        7         13
                                                                                   0       15         6
                                                                                   0       48        136


                                                                                  216     143        359
                                                                                   9       20         29
                                                                                   26      21         47
                                                                                  251     184        435
                                                                                  Out      In        Total
                                                                                 Northbound Approach [S]



                                            Turning Movement Peak Hour Data Plot (7:30 AM)
                                                                  Wenatchee Valley Transportation Council
                                                                             1350 McKittrick St                                              Count Name: Euclid Interchange south of US2
                                                                                  Suite B                                                    Site Code:
                                                                 Wenatchee, Washington, United States 98801                                  Start Date: 04/17/2013
                                                                        509.663.9059 nick@wvtc.org                                           Page No: 11




                                                   Turning Movement Peak Hour Data (3:30 PM)
                      Southbound Approach                                            Northbound Approach                                Eastbound Approach
                             Southbound                                                     Northbound                                         Eastbound
Start Time
             Right   Thru                 U-Turn    App. Total         Thru         Left                 U-Turn   App. Total   Right   Left                U-Turn   App. Total   Int. Total
 3:30 PM      56      49                    0          105              63           69                    0         132        9       13                   0         22          259
 3:45 PM      44      43                    0          87               52           35                    0         87         12      11                   0         23          197
 4:00 PM      34      41                    0          75               41           47                    0         88         6       10                   0         16          179
 4:15 PM      31      45                    0          76               52           47                    0         99         7       9                    0         16          191
  Total      165     178                    0          343             208          198                    0         406        34      43                   0         77          826
Approach %   48.1    51.9                  0.0          -              51.2         48.8                  0.0         -        44.2    55.8                 0.0         -            -
 Total %     20.0    21.5                  0.0        41.5             25.2         24.0                  0.0       49.2        4.1     5.2                 0.0        9.3           -
   PHF       0.737   0.908                0.000       0.817            0.825        0.717                0.000      0.769      0.708   0.827               0.000      0.837       0.797
   Car       151     157                    0          308             196          188                    0         384        22      39                   0         61          753
  % Car      91.5    88.2                   -         89.8             94.2         94.9                   -        94.6       64.7    90.7                  -        79.2         91.2
 Medium       8       9                     0          17               2            2                     0          4         6       2                    0          8           29
% Medium      4.8     5.1                   -          5.0              1.0          1.0                   -         1.0       17.6     4.7                  -        10.4          3.5
  Heavy       6       12                    0          18               10           8                     0         18         6       2                    0          8           44
 % Heavy      3.6     6.7                   -          5.2              4.8          4.0                   -         4.4       17.6     4.7                  -        10.4          5.3
                                                                     Wenatchee Valley Transportation Council
                                                                                1350 McKittrick St               Count Name: Euclid Interchange south of US2
                                                                                     Suite B                     Site Code:
                                                                    Wenatchee, Washington, United States 98801   Start Date: 04/17/2013
                                                                           509.663.9059 nick@wvtc.org            Page No: 12




                                                                                 Southbound Approach [N]
                                                                                  Out      In        Total
                                                                                  235     308        543
                                                                                   4       17         21
                                                                                   12      18         30
                                                                                  251     343        594


                                                                                  151     157         0
                                                                                   8        9         0
                                                                                   6       12         0
                                                                                  165     178         0
                                                                                   R        T         U




                                                                              Peak Hour Data
Eastbound Approach [W]
                         Total
                                 400




                                                 440
                                       18
                                            22




                                                                         U
                                                       0
                                                            0
                                                                0
                                                                    0
                                                                                04/18/2013 3:30 PM
                                 61




                                                 77


                                                       39



                                                                    43
                         In


                                       8
                                            8




                                                            2
                                                                2


                                                                         L
                                                                                Ending At
                                                                                04/18/2013 4:30 PM
                                                                                Car
                                 339




                                                 363
                         Out


                                       10
                                            14



                                                       22



                                                                    34
                                                                         R
                                                            6
                                                                6
                                                                                Medium
                                                                                Heavy




                                                                                   U        L         T
                                                                                   0      188        196
                                                                                   0        2         2
                                                                                   0        8         10
                                                                                   0      198        208


                                                                                  179     384        563
                                                                                   15       4         19
                                                                                   18      18         36
                                                                                  212     406        618
                                                                                  Out      In        Total
                                                                                 Northbound Approach [S]



                                            Turning Movement Peak Hour Data Plot (3:30 PM)
 Wenatchee Valley Transportation Council
            1350 McKittrick St               Count Name: Euclid Interchange south of US2
                 Suite B                     Site Code:
Wenatchee, Washington, United States 98801   Start Date: 04/17/2013
       509.663.9059 nick@wvtc.org            Page No: 13

