                                                      Wenatchee Valley Transportation Council
                                                                 1350 McKittrick St                                   Count Name: State Parks Loop Count A
                                                                      Suite B                                         Site Code:
                                                     Wenatchee, Washington, United States 98801                       Start Date: 07/27/2012
                                                           509.663.9059 patrick@wvtc.org                              Page No: 1



                                                         Turning Movement Data
                        Southbound Street                                  Northbound Street                        Eastbound Street
                           Southbound                                         Northbound                               Eastbound
 Start Time
                Right         Thru          App. Total          Thru             Left          App. Total   Right         Left         App. Total      Int. Total
  % Bike       50.3   56.3   54.3   50.4   76.1   64.4   77.9   44.8   69.8   63.1
                                                          Wenatchee Valley Transportation Council
                                                                     1350 McKittrick St               Count Name: State Parks Loop Count A
                                                                          Suite B                     Site Code:
                                                         Wenatchee, Washington, United States 98801   Start Date: 07/27/2012
                                                               509.663.9059 patrick@wvtc.org          Page No: 5




                                                                      Southbound Street [N]
                                                                      Out         In          Total
                                                                      185         198         383
                                                                      175         235         410
                                                                      360         433         793


                                                                            73          125
                                                                            74          161
                                                                            147         286
                                                                            R           T




                       Total
                               285
                                     625
                                           910
Eastbound Street [W]




                                                       116
                                                 64
                                                 52


                                                        L
                                                                    07/27/2012 1:30 PM
                               143
                                     331
                                           474
                       In




                                                                    Ending At
                                                                    07/29/2012 7:30 PM
                                                 279
                                                       358
                                                 79



                                                        R
                                                                    Car
                               142
                                     294
                                           436
                       Out




                                                                    Bike




                                                                            L           T
                                                                            69          121
                                                                            220         123
                                                                            289         244


                                                                      204         190         394
                                                                      440         343         783
                                                                      644         533         1177
                                                                      Out         In          Total
                                                                       Northbound Street [S]



                                                             Turning Movement Data Plot
                                                      Wenatchee Valley Transportation Council
                                                                 1350 McKittrick St                                   Count Name: State Parks Loop Count A
                                                                      Suite B                                         Site Code:
                                                     Wenatchee, Washington, United States 98801                       Start Date: 07/27/2012
                                                           509.663.9059 patrick@wvtc.org                              Page No: 6




                                         Turning Movement Peak Hour Data (3:00 PM)
                     Southbound Street                                     Northbound Street                        Eastbound Street
                        Southbound                                            Northbound                               Eastbound
Start Time
             Right         Thru            App. Total           Thru             Left          App. Total   Right         Left         App. Total      Int. Total
 3:00 PM      0             3                  3                 1                4                5         3             0               3              11
 3:15 PM      1             0                  1                 2                0                2         1             8               9              12
 3:30 PM      1             4                  5                 4                2                6         1             1               2              13
 3:45 PM      3             2                  5                 1                4                5         1             1               2              12
  Total       5             9                 14                 8                10               18        6            10              16              48
Approach %   35.7          64.3                -                44.4             55.6               -       37.5         62.5              -                 -
 Total %     10.4          18.8              29.2               16.7             20.8             37.5      12.5         20.8            33.3                -
   PHF       0.417        0.563              0.700             0.500            0.625             0.750     0.500        0.313           0.444          0.923
   Car        3             6                  9                 4                4                8         2             8              10              27
  % Car      60.0          66.7              64.3               50.0             40.0             44.4      33.3         80.0            62.5            56.3
   Bike       2             3                  5                 4                6                10        4             2               6              21
  % Bike     40.0          33.3              35.7               50.0             60.0             55.6      66.7         20.0            37.5            43.8
                                                    Wenatchee Valley Transportation Council
                                                               1350 McKittrick St               Count Name: State Parks Loop Count A
                                                                    Suite B                     Site Code:
                                                   Wenatchee, Washington, United States 98801   Start Date: 07/27/2012
                                                         509.663.9059 patrick@wvtc.org          Page No: 7




                                                                Southbound Street [N]
                                                                Out        In       Total
                                                                 12        9         21
                                                                 6         5         11
                                                                 18        14        32


                                                                      3         6
                                                                      2         3
                                                                      5         9
                                                                      R         T




                                                            Peak Hour Data
                       Total
Eastbound Street [W]


                               17
                                    14
                                         31




                                                  10
                                              8
                                              2


                                                   L
                                                              07/27/2012 3:00 PM
                               10


                                         16
                       In


                                    6


                                                              Ending At
                                                              07/27/2012 4:00 PM



                                                  R
                                              2
                                              4
                                                  6
                                                              Car
                       Out



                                         15
                               7
                                    8




                                                              Bike




                                                                      L         T
                                                                      4         4
                                                                      6         4
                                                                      10        8


                                                                 8         8         16
                                                                 7         10        17
                                                                 15        18        33
                                                                Out        In       Total
                                                                 Northbound Street [S]



                                         Turning Movement Peak Hour Data Plot (3:00 PM)
                                                      Wenatchee Valley Transportation Council
                                                                 1350 McKittrick St                                   Count Name: State Parks Loop Count A
                                                                      Suite B                                         Site Code:
                                                     Wenatchee, Washington, United States 98801                       Start Date: 07/27/2012
                                                           509.663.9059 patrick@wvtc.org                              Page No: 8




                                         Turning Movement Peak Hour Data (10:15 AM)
                     Southbound Street                                     Northbound Street                        Eastbound Street
                        Southbound                                            Northbound                               Eastbound
Start Time
             Right         Thru            App. Total           Thru             Left          App. Total   Right         Left         App. Total      Int. Total
 10:15 AM     3             9                 12                 2                7                9         5             3               8              29
 10:30 AM     1             7                  8                 0                3                3         9             1              10              21
 10:45 AM     4             9                 13                 6                6                12        2             0               2              27
 11:00 AM     2             2                  4                 6                3                9         8             0               8              21
  Total       10            27                37                 14               19               33        24            4              28              98
Approach %   27.0          73.0                -                42.4             57.6               -       85.7         14.3              -                 -
 Total %     10.2          27.6              37.8               14.3             19.4             33.7      24.5          4.1            28.6                -
   PHF       0.625        0.750              0.712             0.583            0.679             0.688     0.667        0.333           0.700          0.845
   Car        5             9                 14                 8                4                12        12            2              14              40
  % Car      50.0          33.3              37.8               57.1             21.1             36.4      50.0         50.0            50.0            40.8
   Bike       5             18                23                 6                15               21        12            2              14              58
  % Bike     50.0          66.7              62.2               42.9             78.9             63.6      50.0         50.0            50.0            59.2
                                                     Wenatchee Valley Transportation Council
                                                                1350 McKittrick St               Count Name: State Parks Loop Count A
                                                                     Suite B                     Site Code:
                                                    Wenatchee, Washington, United States 98801   Start Date: 07/27/2012
                                                          509.663.9059 patrick@wvtc.org          Page No: 9




                                                                 Southbound Street [N]
                                                                 Out        In        Total
                                                                  10        14         24
                                                                  8         23         31
                                                                  18        37         55


                                                                       5         9
                                                                       5         18
                                                                       10        27
                                                                       R         T




                                                             Peak Hour Data
                       Total
Eastbound Street [W]


                               23
                                    34
                                         57


                                              2
                                              2
                                                   4
                                                   L
                                                               07/28/2012 10:15 AM
                               14
                                    14
                                         28
                       In




                                                               Ending At
                                              12               07/28/2012 11:15 AM
                                              12
                                                   24
                                                   R
                                                               Car
                       Out


                                    20
                                         29
                               9




                                                               Bike




                                                                       L         T
                                                                       4         8
                                                                       15        6
                                                                       19        14


                                                                  21        12         33
                                                                  30        21         51
                                                                  51        33         84
                                                                 Out        In        Total
                                                                  Northbound Street [S]



                                     Turning Movement Peak Hour Data Plot (10:15 AM)
                                                      Wenatchee Valley Transportation Council
                                                                 1350 McKittrick St                                   Count Name: State Parks Loop Count A
                                                                      Suite B                                         Site Code:
                                                     Wenatchee, Washington, United States 98801                       Start Date: 07/27/2012
                                                           509.663.9059 patrick@wvtc.org                              Page No: 10




                                         Turning Movement Peak Hour Data (2:45 PM)
                     Southbound Street                                     Northbound Street                        Eastbound Street
                        Southbound                                            Northbound                               Eastbound
Start Time
             Right         Thru            App. Total           Thru             Left          App. Total   Right         Left         App. Total      Int. Total
 2:45 PM      4             0                  4                 1                5                6         5             1               6              16
 3:00 PM      1             2                  3                 1                4                5         8             0               8              16
 3:15 PM      0             1                  1                 3                7                10        3             0               3              14
 3:30 PM      1             2                  3                 6                1                7         2             3               5              15
  Total       6             5                 11                 11               17               28        18            4              22              61
Approach %   54.5          45.5                -                39.3             60.7               -       81.8         18.2              -                 -
 Total %      9.8           8.2              18.0               18.0             27.9             45.9      29.5          6.6            36.1                -
   PHF       0.375        0.625              0.688             0.458            0.607             0.700     0.563        0.333           0.688          0.953
   Car        1             0                  1                 2                3                5         1             1               2                 8
  % Car      16.7           0.0               9.1               18.2             17.6             17.9       5.6         25.0             9.1            13.1
   Bike       5             5                 10                 9                14               23        17            3              20              53
  % Bike     83.3         100.0              90.9               81.8             82.4             82.1      94.4         75.0            90.9            86.9
                                                    Wenatchee Valley Transportation Council
                                                               1350 McKittrick St               Count Name: State Parks Loop Count A
                                                                    Suite B                     Site Code:
                                                   Wenatchee, Washington, United States 98801   Start Date: 07/27/2012
                                                         509.663.9059 patrick@wvtc.org          Page No: 11




                                                                Southbound Street [N]
                                                                Out        In        Total
                                                                 3         1          4
                                                                 12        10         22
                                                                 15        11         26


                                                                      1         0
                                                                      5         5
                                                                      6         5
                                                                      R         T




                                                            Peak Hour Data
                       Total
Eastbound Street [W]



                                   39
                                        45
                               6




                                             1
                                             3
                                                  4
                                                  L
                                                              07/28/2012 2:45 PM
                                   20
                                        22
                       In
                               2




                                                              Ending At
                                                              07/28/2012 3:45 PM
                                             17
                                                  18
                                                  R
                                              1
                                                              Car
                       Out


                                   19
                                        23
                               4




                                                              Bike




                                                                      L         T
                                                                      3         2
                                                                      14        9
                                                                      17        11


                                                                 1         5          6
                                                                 22        23         45
                                                                 23        28         51
                                                                Out        In        Total
                                                                 Northbound Street [S]



                                        Turning Movement Peak Hour Data Plot (2:45 PM)
                                                      Wenatchee Valley Transportation Council
                                                                 1350 McKittrick St                                   Count Name: State Parks Loop Count A
                                                                      Suite B                                         Site Code:
                                                     Wenatchee, Washington, United States 98801                       Start Date: 07/27/2012
                                                           509.663.9059 patrick@wvtc.org                              Page No: 12




                                         Turning Movement Peak Hour Data (9:30 AM)
                     Southbound Street                                     Northbound Street                        Eastbound Street
                        Southbound                                            Northbound                               Eastbound
Start Time
             Right         Thru            App. Total           Thru             Left          App. Total   Right         Left         App. Total      Int. Total
 9:30 AM      1             4                  5                 6                7                13        18            0              18              36
 9:45 AM      2             1                  3                 2                1                3         8             0               8              14
 10:00 AM     0             6                  6                 5                2                7         2             0               2              15
 10:15 AM     0             9                  9                 2                3                5         5             0               5              19
  Total       3             20                23                 15               13               28        33            0              33              84
Approach %   13.0          87.0                -                53.6             46.4               -       100.0         0.0              -                 -
 Total %      3.6          23.8              27.4               17.9             15.5             33.3      39.3          0.0            39.3                -
   PHF       0.375        0.556              0.639             0.625            0.464             0.538     0.458        0.000           0.458          0.583
   Car        0             3                  3                 5                1                6         4             0               4              13
  % Car       0.0          15.0              13.0               33.3              7.7             21.4      12.1           -             12.1            15.5
   Bike       3             17                20                 10               12               22        29            0              29              71
  % Bike     100.0         85.0              87.0               66.7             92.3             78.6      87.9           -             87.9            84.5
                                                    Wenatchee Valley Transportation Council
                                                               1350 McKittrick St               Count Name: State Parks Loop Count A
                                                                    Suite B                     Site Code:
                                                   Wenatchee, Washington, United States 98801   Start Date: 07/27/2012
                                                         509.663.9059 patrick@wvtc.org          Page No: 13




                                                                Southbound Street [N]
                                                                Out        In        Total
                                                                 5         3          8
                                                                 10        20         30
                                                                 15        23         38


                                                                      0         3
                                                                      3         17
                                                                      3         20
                                                                      R         T




                                                            Peak Hour Data
                       Total
Eastbound Street [W]



                                   44
                                        49
                               5




                                             0
                                             0
                                                  0
                                                  L
                                                              07/29/2012 9:30 AM
                                   29
                                        33
                       In
                               4




                                                              Ending At
                                                              07/29/2012 10:30 AM
                                             29
                                                  33
                                                  R
                                              4
                                                              Car
                       Out


                                   15
                                        16
                               1




                                                              Bike




                                                                      L         T
                                                                      1         5
                                                                      12        10
                                                                      13        15


                                                                 7         6          13
                                                                 46        22         68
                                                                 53        28         81
                                                                Out        In        Total
                                                                 Northbound Street [S]



                                        Turning Movement Peak Hour Data Plot (9:30 AM)
                                                      Wenatchee Valley Transportation Council
                                                                 1350 McKittrick St                                   Count Name: State Parks Loop Count A
                                                                      Suite B                                         Site Code:
                                                     Wenatchee, Washington, United States 98801                       Start Date: 07/27/2012
                                                           509.663.9059 patrick@wvtc.org                              Page No: 14




                                         Turning Movement Peak Hour Data (2:15 PM)
                     Southbound Street                                     Northbound Street                        Eastbound Street
                        Southbound                                            Northbound                               Eastbound
Start Time
             Right         Thru            App. Total           Thru             Left          App. Total   Right         Left         App. Total      Int. Total
 2:15 PM      4             4                  8                 2                2                4         4             0               4              16
 2:30 PM      1             2                  3                 2                2                4         3             0               3              10
 2:45 PM      1             3                  4                 1                2                3         1             0               1                 8
 3:00 PM      2             4                  6                 0                6                6         3             1               4              16
  Total       8             13                21                 5                12               17        11            1              12              50
Approach %   38.1          61.9                -                29.4             70.6               -       91.7          8.3              -                 -
 Total %     16.0          26.0              42.0               10.0             24.0             34.0      22.0          2.0            24.0                -
   PHF       0.500        0.813              0.656             0.625            0.500             0.708     0.688        0.250           0.750          0.781
   Car        6             4                 10                 1                2                3         5             1               6              19
  % Car      75.0          30.8              47.6               20.0             16.7             17.6      45.5         100.0           50.0            38.0
   Bike       2             9                 11                 4                10               14        6             0               6              31
  % Bike     25.0          69.2              52.4               80.0             83.3             82.4      54.5          0.0            50.0            62.0
                                                    Wenatchee Valley Transportation Council
                                                               1350 McKittrick St               Count Name: State Parks Loop Count A
                                                                    Suite B                     Site Code:
                                                   Wenatchee, Washington, United States 98801   Start Date: 07/27/2012
                                                         509.663.9059 patrick@wvtc.org          Page No: 15




                                                                Southbound Street [N]
                                                                Out        In        Total
                                                                 2         10         12
                                                                 4         11         15
                                                                 6         21         27


                                                                      6         4
                                                                      2         9
                                                                      8         13
                                                                      R         T




                                                            Peak Hour Data
                       Total
Eastbound Street [W]


                               14
                                    18
                                         32


                                              1
                                              0
                                                  1
                                                  L
                                                              07/29/2012 2:15 PM
                                         12
                       In
                               6
                                    6


                                                              Ending At
                                                              07/29/2012 3:15 PM


                                                  11
                                                  R
                                              5
                                              6               Car
                       Out


                                    12
                                         20
                               8




                                                              Bike




                                                                      L         T
                                                                      2         1
                                                                      10        4
                                                                      12        5


                                                                 9         3          12
                                                                 15        14         29
                                                                 24        17         41
                                                                Out        In        Total
                                                                 Northbound Street [S]



                                         Turning Movement Peak Hour Data Plot (2:15 PM)
 Wenatchee Valley Transportation Council
            1350 McKittrick St               Count Name: State Parks Loop Count A
                 Suite B                     Site Code:
Wenatchee, Washington, United States 98801   Start Date: 07/27/2012
      509.663.9059 patrick@wvtc.org          Page No: 16

